paragraph_id,article_id,heading,text
AIB_0000_0001,AIB_0000,Что такое инвестиции?,"Деньги нужны, чтобы их тратить. Это понятно. Но вдруг вы копите на что-то важное? Или тратите меньше, чем зарабатываете? Что тогда происходит с вашими непотраченными деньгами? Они обесцениваются.
У денег есть скрытый враг — инфляция.
**Инфляция** — это рост цен на товары. Из-за него с каждым годом на одну и ту же сумму можно купить всё меньше товаров и услуг. То есть реальная стоимость денег со временем падает.
Инфляция есть в каждой стране и она постоянно меняется.
Посмотрите, что стало бы с деньгами, которые вы в 2010 году решили сохранить на будущее и выбирали бы из таких вариантов:
- Хранить 50 000 рублей дома (это надёжнее всего, деньги всегда при мне).
- Положить 50 000 рублей на депозит в банк под 4,5% годовых (вклад застрахован, а деньги приносят доход).
- Купить на 50 000 рублей акции (например, Лукойла: компания большая, и бензин у неё хороший).
Что бы вы ни выбрали, инфляция будет обесценить ваши сбережения. Главный вопрос — насколько у неё это получится.
За последние 11 лет инфляция в России составила 101,83% (это данные Росстата с января 2010 до января 2021). А значит мы можем проследить судьбу отложенных в 2010 году 50 000 рублей."
AIB_0000_0002,AIB_0000,## **Что это за числа и почему вдруг такой результат?**,"🔐 **Хранили дома** Несмотря на то, что деньги вы не тратили, они обесценились — их реальная стоимость из-за инфляции уменьшилась вдвое. То, что вы могли купить в 2010 году на 50 000 рублей, теперь уже не купишь. В реальности вы сохранили только 24 773 рублей.
🏦 **Положили на депозит** К вашей сумме за эти годы добавилось 31 142 рублей дохода по процентам. Но из-за инфляции, съевшей за 11 лет половину вашего стартового взноса, реальный доход — всего 5915 рубля.
📃 **Купили акции Лукойла** Ваши вложенные 50 000 рублей так же обесценились за эти годы. Но рост стоимости акций перекрыл эти потери, и вы не просто защитили деньги от инфляции, а получили реальную и хорошую прибыль. Почему так? Из-за роста цен на товары компании зарабатывают всё больше, и от этого их акции дорожают.
Несмотря на то, что инфляция для экономики — нормальное явление, обычному человеку она мешает копить и обесценивает его деньги.
Бизнесу инфляция, наоборот, помогает больше зарабатывать. Поэтому с помощью инвестиций в бизнес можно обогнать инфляцию и получить доход — если правильно подобрать инструменты."
AIB_0001_0003,AIB_0001,Где и во что можно инвестировать?,"Площадка, где идёт торговля ценными бумагами — их продажа и покупка — называется биржа. По сути биржа работает как обычный рынок, где цены зависят от спроса и предложения, а продавцы и покупатели ищут свою выгоду.
Когда-то ценные бумаги были настоящими бумажными документами, их передавали из рук в руки на биржах. А биржа до 1986 года была не электронной площадкой, а местом сбора финансистов-брокеров. Там они выкрикивали предложения купить или продать бумагу или партию товара и заключали сделки. Традиция до сих пор сохранилась на Чикагской товарной бирже, однако большинство торгов и там проходят в электронном формате.
Биржи есть практически в каждой стране: например в США — The New York Stock Exchange (NYSE) и биржа NASDAQ, где торгуются в основном акции высокотехнологичных компаний. В Великобритании основная биржа London Stock Exchange (LSE). В России — Московская и СПБ биржа. На Московской бирже торгуются бумаги российских компаний и некоторых зарубежных. А в основном операции с иностранными акциями проводятся на СПБ бирже."
AIB_0001_0004,AIB_0001,# **Кто торгует на бирже?**,"Продавцами на бирже могут быть сами компании, которые выпускают ценные бумаги и размещают их через биржу (их называют эмитенты), или инвесторы, купившие эти бумаги. Покупателями могут быть и люди, и компании.
Но действовать на бирже самостоятельно они не могут — и тем и другим нужен профессиональный посредник, который помогает заключить и безопасно провести сделку. Этим посредником для инвесторов является брокер."
AIB_0001_0005,AIB_0001,### **Что делает брокер:**,"1. Открывает инвесторам [счета](https://alfabank.ru/make-money/investments/brokerskij-schyot/) и регистрирует их на бирже.
2. Показывает, как идут торги.
3. Отправляет заявки клиентов на биржу.
4. Обеспечивает расчёты по сделкам: перечисляет ценные бумаги и деньги.
5. Ведёт отчёты о сделках, которые всегда можно посмотреть в личном кабинете.
6. Отчитывается перед налоговой службой за клиента."
AIB_0001_0006,AIB_0001,# **Можно ли доверять брокеру?**,"Да, можно. И вот три причины для этого:
- Современный брокер — это не отдельный человек, а организация, у которой есть лицензия Центрального банка на брокерскую деятельность. Проверить лицензию брокера можно в [списке Центробанка](https://www.cbr.ru/registries/rcb/).
- ЦБ следит за тем, как брокер соблюдает закон «О рынке ценных бумаг».
- Брокер хранит ваши ценные бумаги в депозитарии. Депозитарий — это виртуальное хранилище, в котором ведётся учёт прав на ценные бумаги. Депозитарий работает только с брокерскими организациями.
Когда вы решите начать инвестировать, нужно выбрать брокера, открыть у него счёт, перечислить туда деньги и подать заявку на сделку. Для этого не придётся куда-то ехать или кому-то звонить. Теперь брокеры работают с клиентами онлайн, как например в приложении Альфа-Инвестиции. Там инвестору доступны все операции."
AIB_0001_0007,AIB_0001,# **Во что можно вложить деньги на бирже?**,"На фондовых биржах через приложение Альфа-Инвестиции можно купить и продать акции, облигации, биржевые фонды и валюту. О каждом типе ценной бумаги, её выгодах и рисках вы узнаете на следующих шагах. А тут лишь их главные особенности."
AIB_0001_0008,AIB_0001,### **Акция**,"Это ценная бумага, которая делает вас совладельцем бизнеса компании. Вы имеете право получать часть её прибыли в виде дивидендов и участвовать в управлении как акционер. А можете продать акцию и получить прибыль — если акция за это время подорожала. Цены акций на бирже называются котировками.
⬆️ Доход 🔴 Риск"
AIB_0001_0009,AIB_0001,### **Облигация**,"Это долговая расписка с обязательством уплатить проценты (купоны). Вы даёте деньги в долг компании или государству и получаете за это доход — купонные выплаты. Когда наступает срок, деньги возвращаются владельцу облигации. Облигации бывают в рублях и валюте.
➡️ Доход 🟢 Риск"
AIB_0001_0010,AIB_0001,### **Биржевые фонды**,"Биржевые фонды похожи на готовые наборы ценных бумаг: инвестиционные компании собирают привлекательные активы в один фонд, делят его на доли (ценные бумаги фонда — паи) и продают их на бирже инвесторам.
↗️ Доход 🟡 Риск"
