paragraph_id,article_id,heading,text
AIA_0000_0001,AIA_0000,# **Иностранные и российские акции**,"**Акция** — это ценная бумага, позволяющая инвестору владеть частью компании, и претендовать на получение прибыли в виде дивидендов. Также можно заработать на разнице цен при покупке и продаже акций.
Акции публичных компаний торгуются на биржах. Биржи принимают заявки на покупку и продажу ценных бумаг и сводят вместе продавцов и покупателей с подходящими для заключения сделки заявками.
Инвестор может совершить сделку с акциями, только когда на бирже найдётся подходящий контрагент. Поэтому точную дату и время совершения сделки предсказать невозможно. При этом если инвестор захочет продать иностранные акции, он может столкнуться с техническими проблемами из-за риска введения иностранным регулятором ограничений на совершение сделок. Многие инвесторы предпочитают делать вложения в акции различных компаний, так как они в перспективе могут принести неограниченный доход. Но акции также могут падать в цене и приводить к финансовым потерям.
При торговле акциями риск полностью ложится на инвестора. Его убыток от сделок не возмещает никто и никогда.
Через брокера вы можете покупать и продавать акции и российских, и зарубежных компаний, которые доступны как на бирже, так и на внебиржевом рынке. Котировки иностранных компаний на бирже могут быть в рублях или иностранной валюте — в зависимости от организации торгов на конкретной бирже по этим бумагам. Но если вы выбрали операции с иностранными акциями в валюте, вы должны иметь в виду и дополнительную выгоду или убыток от изменения курсов валют. Курсовая разница будет учитываться и при налогообложении. Об этом чуть позже. А о том, как акция попадает на биржу и становится доступной инвесторам — узнаем сейчас."
AIA_0000_0002,AIA_0000,# **Листинг ценных бумаг**,"Компании, чьи акции доступны неограниченному кругу инвесторов, называются публичными. Для получения этого статуса они выпускают акции и проводят их первичное размещение (IPO, initial public offering). Но свободные торги этими акциями начинаются только тогда, когда компания заключит договор с биржей. После этого биржа включает акции компании в свой список допущенных к торгам бумаг (эта процедура ещё называется **листингом**) и начинает принимать заявки на их покупку и продажу от инвесторов.
Компании из этого списка биржа тоже делит по уровням, в зависимости от их надёжности и удобства их акций для торгов. Главные факторы: срок существования компании и её стоимость, количество акций в свободном обращении, объём информации и вид отчётности, которые компания раскрывает для инвесторов. Это то, что влияет на риски при операциях с её бумагами.
Например, на Московской бирже существует три уровня (их ещё называют эшелонами), первый и второй уровни являются **котировальными списками**. Третий уровень — не котировальная часть списка. Биржа устанавливает определённые требования к каждому уровню списков, в том числе и для не котировальных списков.
В список первого уровня не сможет попасть компания, существующая меньше трёх лет или без трёхлетней отчётности по международным стандартам. А для компаний третьего уровня нет требований ни по дате их создания, ни по отчётности, ни по количеству акций в обращении. Поэтому операции с их акциями более рискованны.
Инвестору нужно помнить, что акции компаний не из котировального списка биржи отличаются меньшей ликвидностью и большей волатильностью. Объясним, что это значит.
**Ликвидность** — это экономический термин, показывающий как быстро актив (акции) можно продать по цене, близкой к рыночной, т. е. с минимальными потерями для инвестора. Если спрос на покупку и продажу актива есть всегда и с ним заключается много сделок, такой актив называют высоколиквидным.
**Волатильность** (англ. volatility) — этот статистический термин характеризует изменчивость показателя в течение определённого времени. Применительно к акциям говорят, что они волатильны, если их цена меняется сильнее и быстрее, чем у большинства других акций.
Большая ликвидность и невысокая волатильность акций снижают риски для инвестора. Это несомненный плюс акций из котировального списка.
Но котировальный список не гарантирует инвестору, что цены на акции таких компаний будут всегда расти, а также что компания будет часто платить высокие дивиденды.
А вот акции, не входящие в котировальный список, менее предсказуемы и более рискованны. При операциях с ними учитывать несколько факторов.
-
Цены акций более волатильны и количество сделок с такими бумагами в течение дня меньше.
-
Акция, не включённая в котировальный список, как правило, менее ликвидна. А значит, риски не найти продавца или покупателя высоки.
-
При этом отсутствие в котировальном списке вовсе не означает, что цена такой акции будет ниже, чем цены акций из котировального списка.
Также бумаги из любого котировального списка могут обращаться на внебиржевом рынке. Совершать сделки на внебиржевом рынке рискованнее, так как ликвидность ниже, чем на бирже, а участники торгов выставляют свои цены на покупку и продажу, которые могут отличаться от рыночных. Поэтому на внебиржевом рынке обычно торгуют профессиональные инвесторы или те, кто очень хочет купить или продать бумаги, купленные на биржевом рынке. Да, так можно: купить бумагу на бирже, а потом продать её на внебиржевом рынке и наоборот, но только если это прописано в брокерском договоре."
AIA_0000_0003,AIA_0000,"# **Акции, включённые в индекс**","**Индексы** — это важные индикаторы ситуации на рынке, в определённой индустрии или в целом в экономике, отражающие общие тенденции. Например, показатель инфляции, который рассчитывает Росстат — это индекс потребительских цен. Есть индексы безработицы, цен на продовольствие и, конечно, индексы финансовых рынков.
Индексы дают возможность оценить динамику определённого сектора рынка или экономики, или динамику котировок отдельной компании относительно конкурентов или рынка в целом. Когда чьи-то показатели лучше, чем в среднем по рынку — это хороший знак.
Инвесторы доверяют индексам надёжных и компетентных организаций. Инвестиционная компания Morgan Stanley рассчитывает фондовый индекс MSCI Russia — туда включены крупные компании с большой долей акций в обращении. Аудиторская компания Standard & Poor's рассчитывает индекс S&P500: в него входят 500 крупнейших американских компаний. Свои индексы рассчитывают и сами биржи: индекс Nasdaq Composite биржи NASDAQ или индекс Московской биржи.
Каждая фондовая биржа устанавливает свои правила расчёта индексов, где обязательно указано, при каких условиях акции включаются в расчёт индекса и какова будет их доля (пропорция) в общем индексе.
Индекс биржи в реальном времени отражает происходящее на рынке в целом, а не с отдельным эмитентом. Он показывает изменение суммарной стоимости ценных бумаг из списка индекса, но цены бумаг берутся в расчёт в разной пропорции — она устанавливается биржей в зависимости от капитализации компании и её ликвидности.
Индексы ещё называют бенчмарками (ориентирами) для сравнения. Например, если индекс рынка за год поднялся на 5%, а акция за это время подорожала сильнее, считается, что она обогнала рынок, то есть была успешнее многих. А вот если акция отстала от рынка, это тревожный знак.
Включение ценной бумаги в финансовые индексы считается хорошей новостью для компании, потому что означает признание её значимости для рынка и экономики страны. И спрос на такую ценную бумагу растёт: на индексы ориентируются крупные инвесторы, к ним привязаны вложения индексных фондов. И наоборот, если бумагу исключают из индекса, это негативный знак для компании.
Например, в индекс S&P 500 включены 500 крупнейших компаний США по капитализации. Ограничение числа 500 жёсткое, это значит, что включение одной компании в индекс автоматически означает исключение другой, показатели которой оказались хуже. Это правило действует и для других индексов крупнейших компаний разных стран (MOEX, RTS, FTSE 100, DAX, DOW JONES, NASDAQ, KOSPI, EURO STOXX 50 и другие), они все ограничены по числу участников.
Чтобы акция попала в индекс, она должна соответствовать определённым требованиям. Например, допущена ли акция к организованным торгам и котировальным спискам, какая организационная структура у эмитента акции, место юридической регистрации эмитента, объёмы торгов и ликвидность акций за период, уровень листинга и капитализация, а также количество акций, находящихся в свободном обращении.
Но то, что иностранная акция входит в фондовый индекс, само по себе не даёт полного представления о её ликвидности и волатильности. При работе с иностранными акциями, даже включёнными в главные индексы, у российских инвесторов есть и дополнительные риски, о которых нужно знать."
AIA_0000_0004,AIA_0000,"# **Риски, связанные с покупкой акций иностранных компаний**","Иностранные компании и иностранные биржи подчиняются законодательству и правилам своей страны, за их работой следит иностранный регулятор. И все они заботятся в первую очередь об интересах экономики и граждан своей страны. Поэтому у иностранных инвесторов всегда есть дополнительные риски при работе на чужих рынках.
Разберём некоторые дополнительные риски и сложности при инвестировании в акции иностранных компаний:
-
законодательство другой страны и правила обращения акций на её биржах могут неожиданно измениться не в интересах иностранных инвесторов;
-
иностранное государство может ввести блокирующие санкции против российского брокера, а также ввести санкции в отношении биржевой инфраструктуры или объявить запрет на депозитарные операции с акциями;
-
иностранный эмитент может провести делистинг своих акций; Банк России может ввести запрет на биржевую торговлю иностранными акциями;
-
иностранное государство может даже запретить инвесторам из других стран вкладываться в акции определённых компаний или отраслей;
-
если ваши права и интересы будут нарушены участником сделки, биржей или компанией-эмитентом акций — судиться с ними придётся в иностранных судах по законам другой страны. А это дорого и сложно;
-
доходы от ваших операций с иностранными акциями на бирже другой страны могут облагаться налогами и в этом государстве, а не только в России;
-
будет сложнее получить информацию: компании отчитываются в первую очередь перед регуляторами своего государства, и инвестору, чтобы не ошибиться, придётся делать перевод отчётности или ключевых новостей компании.
При этом для иностранных ценных бумаг не свойственны риски, связанные с Россией. Например, изменение суверенного рейтинга России никак не скажется на стоимости иностранных акций.
Инвестируя в иностранные акции, помните, что учёт всех возможных рисков — это ответственность инвестора."
AIA_0001_0005,AIA_0001,Облигации с низким кредитным рейтингом,"**Облигация** — это долговая ценная бумага, обязательство вернуть деньги к точному сроку, а до его наступления выплачивать купоны.
Почти все параметры облигаций прописаны в эмиссионном проспекте — это специальный регламентированный законом документ, который готовит компания, прежде чем разместить свои облигации среди инвесторов. Как правило, из проспекта инвестор может узнать номинал облигации, размер и периодичность купонного дохода, дату выпуска и погашения облигаций и дату досрочного погашения — оферты.
В дату оферты инвестор может предъявить свои облигации к погашению до даты погашения всего выпуска, но это его право, а не обязанность."
AIA_0001_0006,AIA_0001,# **Из чего складывается доход по облигациям**,"Облигации можно приобрести напрямую у эмитента при размещении выпуска или у других инвесторов на фондовом рынке, или на внебиржевом рынке.
При покупке облигаций инвестор заплатит за неё номинальную стоимость — если покупает напрямую у эмитента — или биржевую цену, если приобретает её на бирже. Цены облигаций указываются в процентах от номинала, а он всегда составляет 1000 единиц валюты выпуска. Например, цена рублёвой облигации 98,6% означает, что за бумагу нужно заплатить 98,6% от номинала, то есть 986 рублей. Облигации могут выпускаться не только в рублях, эмитент определяет валюту, в которой ему нужны средства. И это могут быть доллары, евро, юани и другие валюты — валютные облигации традиционно называются еврооблигациями, даже если они в других валютах.
Оценивая выгоды от сделки с облигациями, инвесторы обязательно смотрят на размер купонных выплат по ним, накопленный купонный доход (НКД) и срок погашения — всё это влияет на доходность такой инвестиции. Купон идёт в доход инвестора, ведь эмитент перечисляет заранее известные суммы в установленные даты тому, кто на эту дату владеет облигацией. Поэтому при сделках с облигациями покупатель перечисляет продавцу не только стоимость самой бумаги, но и накопленный купонный доход — причитающуюся продавцу часть предстоящей купонной выплаты, которая накопилась с момента последней выплаты купона.
Если инвестор приобретает облигацию на внебиржевом рынке, то цена такой сделки не является рыночной, а рассчитывается по формуле:
*(цена покупки × номинал облигации + НКД) × количество бумаг + комиссия брокера + комиссия депозитария*"
AIA_0001_0007,AIA_0001,# **Какие бывают риски по облигациям**,"Инвестирование в облигации, как и в другие ценные бумаги, связано с определёнными рисками. Они имеют разную природу, и инвестору нужно учитывать их при принятии решений.
**Кредитный риск и кредитный рейтинг.**
Это риск того, что финансовое состояние эмитента облигаций сильно ухудшится, и вместо выполнения обязательств перед инвесторами он будет действовать, например так:
-
не выплатит или просрочит выплату купонов;
-
не вернёт номинал после погашения облигации;
-
будет отказываться от любых выплат;
-
потребует рассрочки платежей по купонам или номиналу;
-
не исполнит обязательство по досрочному погашению;
-
начнёт процедуру реструктуризации долга и прочее.
Как же понять, какая компания финансово надёжная, а в чьи бумаги стоит инвестировать очень осторожно? По кредитному рейтингу.
Кредитный рейтинг — это оценка платёжеспособности эмитента, вероятность дефолта или банкротства, сделанная специальным рейтинговым агентством. Кредитный рейтинг позволяет инвесторам оценить финансовую устойчивость целой страны или отдельной компании. Или даже риски по конкретному выпуску облигаций, если ему присвоен рейтинг. Таким образом, кредитный рейтинг можно считать показателем кредитного риска эмитента и его бумаг.
Рейтинговые агентства — независимые организации, которые специализируются на оценке финансовой устойчивости по сотням параметров и собственным методикам. Они оценивают эмитентов, которые выпускают облигации, и компании, которые обеспечивают исполнение обязательств по **иностранным** облигациям. У агентств есть доступ не только к открытым, но и к конфиденциальным данным эмитентов и компаний, которые заинтересованы в присвоении им рейтингов. Ведь наличие кредитного рейтинга облегчает привлечение финансирования на рынке.
За методологией агентств следит Банк России, он же ведёт [реестр](http://www.cbr.ru/search/?text=%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80+%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%BD%D1%8B%D1%85+%D1%80%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2%D1%8B%D1%85+%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2) кредитных рейтинговых агентств. Сейчас в нём четыре российских агентства: Эксперт РА, Аналитическое кредитное рейтинговое агентство (АКРА), Национальные кредитные рейтинги (НКР) и Национальное рейтинговое агентство (НРА).
У каждого агентства принята своя шкала оценки, и рейтинги от разных агентств могут различаться. Более того, могут отличаться даже рейтинги одного агентства для разных выпусков облигаций одного эмитента — поэтому нужно проверять кредитные рейтинги именно нужных вам бумаг.
Чтобы обозначать степень надёжности, рейтинговые агентства ввели специальные обозначения — комбинации букв или букв с цифрами и знаками. Как правило, списки составляются от буквы А в порядке убывания: ААА, АА, А+, А, А−, ВВВ, ВВ+, ВВ, ВВ−, ССС и так далее.
Рейтинг категории А присваивают самым надёжным эмитентам: государству или крупным государственным компаниям. Доход по таким облигациям, как правило, на уровне банковского депозита, зато у них низкий риск и высокая ликвидность — их можно быстро купить или продать на рынке. Например, у выпускаемых Минфином ОФЗ или у Газпрома в 2021 году были рейтинги ruAAA от Эксперт РА и ААА (RU) от агентства АКРА. Покупать бумаги с таким рейтингом можно и без прохождения тестирования у брокера.
Рейтинг категории В означает среднюю надёжность. Такой рейтинг часто выдают крупным корпоративным эмитентам с хорошей историей бизнеса и предыдущих выплат. Инвестор может рассчитывать на возврат денег, однако финансовые риски такого эмитента чуть выше. Выше и доходность облигаций таких компаний — если доходность ОФЗ к погашению может быть 8%, то по корпоративной облигации — 14%. При этом стоит помнить, что указанная доходность не гарантирована и может оказаться меньше.
В случае с иностранными облигациями, рейтинг В и выше говорит инвестору о том, что компания, обеспечивающая исполнение обязательств по ним, способна исполнить эти обязательства, даже с учетом ограничений, установленных иностранным регулятором.
Такие уровни рейтинга называются «инвестиционными». Облигации с рейтингами ААА или ВВВ, как правило, ликвидны и торгуются на бирже — их можно быстро продать и купить. Поскольку на рынке всегда много предложений, по таким облигациям маленький спред — разница между лучшей ценой покупки и продажи.
Для покупки облигаций с рейтингом ниже установленного Банком России уровня неквалифицированным инвесторам с 1 октября 2021 года нужно пройти тест, чтобы подтвердить понимание всех рисков.
Рейтинг категории С ещё называется «спекулятивный». Он означает, что бизнес компании подвержен рыночным колебаниям и её финансовая устойчивость не очевидна. Либо эта компания недавно появилась на рынке и пока не успела себя зарекомендовать надёжным заёмщиком. Вероятность не получить выплаты по облигациям категории C довольно высока, но за это компании предлагают инвесторам высокий доход по своим бумагам.
За этой категорией рейтинга следует худшая категория D или дефолтный рейтинг. Его присваивают эмитенту, когда уже есть проблемы с выполнением обязательств по этим бумагам. При этом на рынке можно встретить и облигации вовсе без рейтинга. Это говорит о том, что кредитный риск именно этого выпуска бумаг никакое агентство не оценивало, не изучало показатели эмитента, его ситуацию с ликвидностью, качество обеспечения облигаций и так далее. То есть на рынке нет какого-либо значимого и независимого мнения об этом эмитенте или выпуске облигаций.
Отсутствие рейтинга облигации ещё не значит, что её выпустила ненадёжная компания, у которой есть финансовые проблемы. Просто об этой бумаге меньше информации, кредитное агентство ещё не определяло кредитный риск данного выпуска облигаций.
Поэтому на сделки с облигациями без рейтинга или с низким рейтингом решаются в основном профессионалы, зарабатывающие на спекуляциях. Ликвидность таких бумаг невелика, купить или продать российские или иностранные облигации с низким рейтингом или без кредитного рейтинга непросто. Поэтому и невозможно рассчитать время сделки с такими бумагами — оно зависит от того, как быстро удастся найти покупателя или продавца и устроит ли вас цена покупки и продажи.
А сделки по иностранным облигациям без рейтинга, в дополнении ко всему, могут быть ограничены со стороны иностранного регулятора.
**Рыночный риск.**
Следующий риск никак не связан с финансовым состоянием эмитента, поэтому он распространяется как на бумаги с кредитным рейтингом, так и на облигации без рейтинга.
Это риск того, что рыночная стоимость ценной бумаги снизится из-за различных экономических факторов, влияющих на настроения инвесторов: изменения ключевой ставки, пандемии, геополитических конфликтов, негативного новостного фона и других.
Рыночному риску подвержены все бумаги в равной степени.
**Страновой риск.**
Когда инвестор покупает еврооблигацию иностранной компании, он должен учитывать специфику этой страны, и связанные с этим дополнительные риски. У иностранной компании могут быть свои требования к выпуску или обращению ценных бумаг. А все споры по еврооблигациям инвестору придётся разрешать в стране эмитента, и это тоже необходимо учитывать.
Например, инвестор купил еврооблигацию, выпущенную американской компанией или российской компанией, но по иностранным законам. Если эта компания не будет исполнять свои обязательства — не выплатит купон или номинал облигации в дату погашения, то подать на неё в суд можно по месту нахождения эмитента или по месту выпуска облигаций — то есть в США. А также инвестор может потребовать исполнения обязательств, оформив и направив требование по нормам законодательства, указанного в проспекте эмиссии."
AIA_0002_0008,AIA_0002,# **Что такое ETF**,"Многие инвесторы стараются диверсифицировать активы, чтобы защититься от разных рисков и серьёзных убытков, а ещё хотят иметь перспективные бумаги для дохода. Поэтому они собирают сбалансированные портфели.
Но некоторые интересные ценные бумаги стоят дорого. Например, привилегированные акции российской Транснефти стоят примерно 100 000 рублей.
Если у инвестора нет большого капитала, инвестировать в такие дорогие бумаги он может опосредованно — через паи инвестиционного фонда, вложившегося в эти бумаги. Такие паи можно купить у управляющей фондом компании или на бирже, если это биржевой паевой инвестиционный фонд (БПИФ) или его зарубежный аналог ETF (exchange traded fund).
**ETF** — это фонд, в который иностранная управляющая компания собрала определённые ценные бумаги или иные активы. Активы фонда делятся на паи, которые по смыслу похожи на инвестиционные портфели, и вот эти паи управляющая компания выпускает на биржу. Там они торгуются точно так же, как обычные акции, поэтому **паи** биржевых фондов или ETF ещё называют **акциями** фондов.
*Один пай — это доля от всех бумаг фонда в той же пропорции, что они содержатся в фонде.*
Как правило, управляющая компания собирает в свой фонд активы, объединённые общей идеей, которая будет понятна и интересна инвесторам. Фонды могут инвестировать в бумаги выбранных отраслей, секторов, стран. Например, фонды «Медицины» могут включать в себя акции фармацевтических и медицинских компаний, фонды «IT-индустрии» — цифровые компании и производителей компьютерной техники.
В отличие от отдельных акций, инвестиции в фонды надёжнее, потому что это вложения в десятки и сотни ценных бумаг одновременно. Если одна или две бумаги в фонде просядут в цене, но большинство акций в фонде будут расти, то цена пая может увеличиться. В этом отличие фонда от частного портфеля из нескольких бумаг, где падение двух из них сильнее скажется на доходности.
Ещё есть фонды, содержимое которых повторяет биржевой индекс какой-то страны или отрасли, и тогда цена пая меняется вслед за индексом — например индексом Московской биржи или S&P 500.
Индексы рассчитываются по котировкам крупных компаний, отражающих состояние экономики страны, или по компаниям отдельных отраслей. Так, в индекс Московской биржи входят акции крупнейших российских компаний, а в S&P 500 — 500 крупнейших компаний США. Такие индексы по-другому называются индексами широкого рынка — потому что туда входят компании из разных отраслей и секторов. А вот в фонде на индекс отдельной отрасли, например металлургии, будут только акции компаний из этой отрасли.
Если в портфеле фонда есть бумаги, по которым выплачиваются купоны или дивиденды, то инвестору они обычно не поступают. Управляющая компания получает их на свои счета, платит с этих доходов налоги и, как правило, реинвестирует, то есть покупает на них дополнительные бумаги в фонд.
Паи ETF, следующего за индексом широкого рынка, более устойчивы к отраслевым кризисам благодаря диверсификации вложений фонда в активы из разных отраслей.
Например, инвестор купил пай фонда на индекс S&P 500 и пай фонда на индекс «Сельское хозяйство». Если эта отрасль пострадает от засухи и неурожая, акции сельскохозяйственных компаний подешевеют, а индекс отрасли упадёт. И вместе с ним снизится цена пая фонда «Сельское хозяйство». Это падение будет сильнее, чем у индекса широкого рынка и паёв фонда на индекс S&P 500."
AIA_0002_0009,AIA_0002,# **Как ЕТF торгуются на бирже**,"Чтобы паи свободно торговались на рынке, управляющие компании проводят листинг своих фондов на бирже, то есть биржевое размещение паёв (их ещё называют акциями фонда). Для доступа иностранных бумаг на российские биржи есть дополнительные условия.
Эмитентом ETF выступает иностранная УК, но она должна соблюдать требования российского закона «О рынке ценных бумаг» к **лицам, обязанным по ценным бумагам.** Например, по российскому законодательству она должна раскрывать информацию о паях ETF. А ещё иностранная биржа, которая является основной торговой площадкой для такого фонда, должна быть включена в утверждённый Центральным Банком перечень иностранных бирж.
Если иностранная управляющая компания фонда заключит договор с российской биржей о листинге паёв и договор с работающим на этой бирже маркет-мейкером о поддержании ликвидности, то паи такого фонда попадут в первый или второй котировальные списки биржи. Потому что наличие у лица, обязанного по ценным бумагам, таких договоров будет сильно влиять на ценообразование паёв ETF, их ликвидность и риски инвестирования в такие бумаги.
Цена пая определяется на основе стоимости входящих в фонд ценных бумаг, разделённой на количество паёв, — это называется справедливой ценой. Когда растёт цена активов в фонде — паи дорожают, и наоборот.
Хотя паи ETF торгуются на бирже, это не спекулятивный инструмент — влияние спроса и предложения на их котировки ограничено. Управляющая компания не должна допускать серьёзных отклонений биржевой цены от справедливой (расчётной) стоимости пая, постоянно поддерживая ликвидность паёв через **авторизованного участника фонда** — маркет-мейкера, у которого есть обязательства по этим ценным бумагам по договору с управляющей компанией фонда.
Если рыночная стоимость пая будет отличаться от справедливой цены, авторизованный участник фонда — маркет-мейкер — выставит противоположные заявки, чтобы вернуть цену к справедливому уровню. По требованиям ЦБ отклонение рыночной цены пая от справедливой не должно превышать 3%. Поэтому маркет-мейкер всегда присутствует на рынке и постоянно следит за ценами.
Однако на российской бирже могут торговаться паи и тех иностранных фондов, у которых нет договора с биржей и с маркет-мейкером. Такие бумаги попадают в низший уровень листинга — 3, и инвестиции в них несут дополнительные риски."
AIA_0002_0010,AIA_0002,# **Какие риски у ETF**,"Если паи ETF были допущены к торгам на российской бирже без договора с лицом, обязанным по ценным бумагам — эмитентом — то он не заинтересован в поддержке биржевой ликвидности этих бумаг. Поэтому у таких бумаг может не быть маркет-мейкера, и никто не будет следить за ценовыми отклонениями биржевых котировок от справедливой цены пая и ликвидностью этих бумаг. В такой ситуации котировки фонда будут зависеть только от спроса и предложения на рынке, а не от изменения цены активов, влияющих на справедливую цену пая.
То же самое с ликвидностью паёв такого фонда: никто не обязан поддерживать её на российской бирже.
Поэтому в дни, когда не работает основная торговая площадка иностранного фонда, торги его ETF на российской бирже могут продолжаться, но ликвидность бумаг, скорее всего, будет низкой.
Если российская биржа допустила паи ETF к торгам без договора с лицом, обязанным по ценным бумагам, прекращение этих торгов и делистинг паёв тоже чреват дополнительными рисками для инвесторов. В этом случае выкупать паи у инвесторов не будут ни управляющая компания, ни авторизованный участник фонда. Инвесторам остаётся только попытаться продать эти паи на бирже до делистинга либо уже после — на внебиржевом рынке, если найдётся покупатель.
Как и другие иностранные ценные бумаги — акции или облигации — паи ETF подвержены всем рискам, связанным с иностранной юрисдикцией. Иностранные компании и биржи подчиняются законодательству и правилам своей страны, поэтому у инвесторов всегда есть дополнительные риски при работе с иностранными активами.
Вот с какими сложностями можно столкнуться при инвестировании в паи ETF:
-
законодательство другой страны и правила обращения ETF на её биржах может неожиданно измениться не в интересах иностранных инвесторов;
-
доходы от ваших операций с паями ETF могут облагаться налогами и в этом государстве, а не только в России;
-
управляющая компания ETF может обанкротиться;
-
фонд в иностранной юрисдикции может ликвидироваться и инвестор продать пай ETF или получить компенсацию его стоимости;
-
иностранное государство может ввести запретительные меры в отношении российских владельцев паёв ETF;
-
даже если ETF допущены к торгам по договору с лицом, обязанным по таким ценным бумагам, у розничного инвестора есть риск, что маркет-мейкер не выкупит у него эти ETF рыночные риски: если цена базовых активов, которые входят в ETF, резко изменились в худшую для инвестора сторону;
-
защищать права инвестора по иностранным фондам в России невозможно.
При этом, как и в случае с другими иностранными ценными бумагами, для ETF несвойственны страновые риски, связанные с Россией. Например, риск изменения суверенного рейтинга."
